id_produto;preco;uf;fimVigencia;inicioVigencia;tipoPreco;listaPreco
1000073;710.91;;;2019-10-04T11:20:00;N;19595207
1000073;710.91;;;2019-10-04T11:20:00;N;38893375
1000147;157.08;;;2021-05-17T00:00:00;N;13108126
1000147;95.42;;;2019-12-02T00:00:00;N;14753181
1000147;79.19;;;2019-10-04T11:20:00;N;19595207
1000160;2056.61;;;2021-07-12T00:00:00;N;13108126
1000160;2022.23;;;2022-01-10T00:00:00;N;14079152
1000160;2034.82;;;2021-07-12T00:00:00;N;14753181
1000173;1565.09;;;2022-11-14T00:00:00;N;14079152
1000173;1749.77;;;2022-11-14T00:00:00;N;30855291
1000173;1565.09;;;2022-11-14T00:00:00;N;38893361
1000179;1181.06;;;2023-10-27T17:09:02;C;1741109
1000179;1055.18;;;2023-10-31T14:22:22;C;1741117
1000179;1118.9;;;2023-10-30T19:51:55;C;1741133
1000189;58.26;;;2023-05-01T00:00:00;N;14753181
1000189;58.26;;;2023-05-01T00:00:00;N;38893362
1000197;139.13;;;2022-11-28T00:00:00;N;13108126
1000197;178.41;;;2022-11-28T00:00:00;N;32478324
1000197;129.1;;;2023-01-23T00:00:00;N;34622304
1000211;2897.09;;;2023-06-05T00:00:00;N;13108126
1000211;3070.48;;;2023-07-10T00:00:00;N;14079152
1000211;2817.66;;;2023-07-10T00:00:00;N;14753181
1000217;37.42;;;2022-11-28T00:00:00;N;14079152
1000217;41.84;;;2023-01-23T00:00:00;N;30855291
1000217;37.42;;;2022-11-28T00:00:00;N;38893361
1000222;26.69;;;2021-03-15T00:00:00;N;14079152
1000222;30.92;;;2023-05-01T00:00:00;N;19595207
1000222;22.47;;;2021-03-15T00:00:00;N;30855291
1000223;26.69;;;2021-03-15T00:00:00;N;14079152
1000223;17.08;;;2019-10-04T11:20:00;N;19595207
1000223;22.47;;;2021-03-15T00:00:00;N;30855291
1000224;26.69;;;2021-03-15T00:00:00;N;14079152
1000224;30.92;;;2023-05-01T00:00:00;N;19595207
1000224;22.47;;;2021-03-15T00:00:00;N;30855291
1000233;190.69;;;2023-07-10T00:00:00;N;14079152
1000233;225.73;;;2023-07-10T00:00:00;N;30855291
1000233;190.69;;;2023-07-10T00:00:00;N;38893361
1000235;13.42;;;2023-07-03T00:00:00;N;14079152
1000235;22.28;;;2023-07-03T00:00:00;N;30855291
1000235;13.42;;;2023-07-03T00:00:00;N;38893361
1000248;174.64;;;2022-11-28T00:00:00;N;14753181
1000248;180.15;;;2022-11-28T00:00:00;N;38893362
1000249;406.57;;;2023-05-08T00:00:00;N;14079152
1000249;454.55;;;2023-05-08T00:00:00;N;30855291
1000249;406.57;;;2023-05-08T00:00:00;N;38893361
1000251;44.76;;;2022-11-28T00:00:00;N;14753181
1000251;59.21;;;2022-11-28T00:00:00;N;38893362
1000253;554.54;;;2022-11-28T00:00:00;N;14753181
1000253;554.54;;;2022-11-28T00:00:00;N;38893362
1000262;2528.24;;;2023-10-27T17:09:02;C;1741109
1000262;2258.76;;;2023-10-31T14:22:22;C;1741117
1000262;2395.17;;;2023-10-30T19:51:55;C;1741133
1000273;43.3;;;2023-05-08T00:00:00;N;13108126
1000273;43.3;;;2023-05-15T00:00:00;N;14079152
1000273;41.98;;;2023-05-08T00:00:00;N;14753181
1000276;1891.94;;;1970-01-01T00:00:00;N;1
1000276;1891.94;;;1970-01-01T00:00:00;N;2
1000276;1891.94;;;1970-01-01T00:00:00;N;3
1000279;1107.79;;;2023-05-08T00:00:00;N;13108126
1000279;1524.79;;;2023-07-24T00:00:00;N;14079152
1000279;1.39;;;2023-09-11T00:00:00;N;14753181
1000281;1637.5;;;1970-01-01T00:00:00;N;1
1000281;1637.5;;;1970-01-01T00:00:00;N;2
1000281;1637.5;;;1970-01-01T00:00:00;N;3
1000282;3423.84;;;1970-01-01T00:00:00;N;1
